EnsemblID	type
ENSG00000138430	ciseqtl
ENSG00000138443	ciseqtl
ENSG00000138496	ciseqtl
ENSG00000138594	ciseqtl
ENSG00000138606	ciseqtl
ENSG00000138744	ciseqtl
ENSG00000138757	ciseqtl
ENSG00000138760	ciseqtl
ENSG00000138794	ciseqtl
ENSG00000138796	ciseqtl
ENSG00000138798	ciseqtl
ENSG00000139163	ciseqtl
ENSG00000139174	ciseqtl
ENSG00000139190	ciseqtl
ENSG00000139192	ciseqtl
ENSG00000139329	ciseqtl
ENSG00000139344	ciseqtl
ENSG00000139370	ciseqtl
ENSG00000139405	ciseqtl
ENSG00000139428	ciseqtl
ENSG00000139624	ciseqtl
ENSG00000139644	ciseqtl
ENSG00000139668	ciseqtl
ENSG00000139835	ciseqtl
ENSG00000139842	ciseqtl
ENSG00000139899	ciseqtl
ENSG00000139910	ciseqtl
ENSG00000139990	ciseqtl
ENSG00000140009	ciseqtl
ENSG00000140025	ciseqtl
ENSG00000140043	ciseqtl
ENSG00000140090	ciseqtl
ENSG00000140157	ciseqtl
ENSG00000140284	ciseqtl
ENSG00000140299	ciseqtl
ENSG00000140320	ciseqtl
ENSG00000140386	ciseqtl
ENSG00000140395	ciseqtl
ENSG00000140396	ciseqtl
ENSG00000140416	ciseqtl
ENSG00000140479	ciseqtl
ENSG00000140563	ciseqtl
ENSG00000140853	ciseqtl
ENSG00000140854	ciseqtl
ENSG00000140859	ciseqtl
ENSG00000140876	ciseqtl
ENSG00000140937	ciseqtl
ENSG00000140943	ciseqtl
ENSG00000141076	ciseqtl
ENSG00000141084	ciseqtl
ENSG00000141198	ciseqtl
ENSG00000141252	ciseqtl
ENSG00000141503	ciseqtl
ENSG00000141556	ciseqtl
ENSG00000141655	ciseqtl
ENSG00000141664	ciseqtl
ENSG00000141682	ciseqtl
